,index,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street
122,129,"Gdynia, Dąbrowa",445000.0,10349.0,43.0,2.0,1.0,0,wtórny,2007.0,blok,0.0,miejskie,3.0,1,0,0,15.0,Dąbrowa,
123,130,"Gdynia, Wielki Kack",449000.0,9354.0,48.0,2.0,3.0,1,wtórny,1995.0,blok,0.0,miejskie,3.0,1,0,0,27.0,Wielki Kack,
124,131,"Gdynia, Leszczynki, Stefana Ramułta",469000.0,8911.0,52.63,3.0,10.0,0,wtórny,1980.0,blok,1.0,miejskie,11.0,1,0,0,42.0,Leszczynki,
125,132,,534973.2,8760.0,61.07,3.0,1.0,0,wtórny,1987.0,blok,0.0,miejskie,4.0,1,0,0,35.0,,
126,133,"Gdynia, Dąbrowa, Kolendrowa",609000.0,8219.0,74.1,4.0,2.0,1,wtórny,1990.0,blok,0.0,miejskie,4.0,1,0,0,32.0,Dąbrowa,
127,134,"Gdynia, Cisowa, ul. Zbożowa",608000.0,9806.0,62.0,4.0,10.0,1,wtórny,1985.0,blok,1.0,miejskie,11.0,1,0,0,37.0,Cisowa,
128,135,"Gdynia, Mały Kack, Bernadowo Park",890000.0,14355.0,62.0,3.0,0.0,1,wtórny,2018.0,apartamentowiec,1.0,gazowe,4.0,0,0,1,4.0,Mały Kack,
129,136,"Gdynia, Kamienna Góra",1088000.0,32000.0,34.0,2.0,2.0,1,wtórny,2018.0,apartamentowiec,1.0,miejskie,5.0,0,0,0,4.0,Kamienna Góra,
130,137,"Gdynia, Chylonia, Chylońska",459000.0,9563.0,48.0,3.0,3.0,1,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Chylonia,
131,138,"Gdynia, Dąbrowa, Gorczycowa",729000.0,9720.0,75.0,3.0,2.0,1,wtórny,2006.0,blok,0.0,inne,3.0,0,0,0,16.0,Dąbrowa,
132,139,"Gdynia, Orłowo",479000.0,13123.0,36.5,2.0,0.0,1,wtórny,1936.0,kamienica,0.0,gazowe,1.0,0,1,0,86.0,Orłowo,
133,140,"Gdynia, Babie Doły, ul. Ikara",499000.0,10617.0,47.0,2.0,3.0,0,wtórny,,blok,0.0,miejskie,3.0,1,0,0,,Babie Doły,
134,141,"Gdynia, Wielki Kack, ul. Nowodworcowa",379000.0,9444.0,40.13,2.0,2.0,1,pierwotny,2024.0,apartamentowiec,1.0,gazowe,3.0,1,0,0,-2.0,Wielki Kack,
135,142,"Gdynia, Chwarzno-Wiczlino, Wiczlino, ul. Jachtowa",699000.0,5197.0,134.5,4.0,1.0,1,pierwotny,2023.0,szeregowiec,0.0,gazowe,2.0,1,1,0,-1.0,Chwarzno-Wiczlino,
136,143,"Gdynia, Obłuże",375000.0,11367.0,32.99,2.0,2.0,1,wtórny,2021.0,blok,0.0,gazowe,3.0,1,0,0,1.0,Obłuże,
